Y1,P P 2,c c e,P PE,c c e,PP1,c c e,P P  I,c c m,r i,N T,M B,hkmb,M2,NH,RI
2008/4/1,107.9,1,109,1,109.2,1,100.7,1,101.9,80654,"883,589",0,1.9,13849.99,101.9
2008/5/1,109.9,1.8,113.2,3.9,109.9,0.7,104.8,4.1,103.1,74649,"879,638",0.00449162,2.1,14338.54,103.1
2008/6/1,108.5,-1.2,109.9,▲2.9,109.7,▲0.2,100.4,▲4.2,103.7,82960,"880,155",-0.000587397,2.2,13481.38,103.7
2008/7/1,107.9,-0.5,109.4,▲0.4,108.6,▲1.0,103,2.6,102.5,76150,"878,532",0.0018474,2.1,13376.81,102.5
2008/8/1,107.7,-0.3,110.4,0.9,107.2,▲1.3,100,▲2.9,104.7,78009,"879,433",-0.001024524,2.4,13072.87,104.7
2008/9/1,103.2,-4.1,106.2,▲3.8,104.4,▲2.6,94.4,▲5.7,102.6,87262,"883,741",-0.004874731,2.2,11259.86,102.6
2008/10/1,105.6,2.3,106.6,0.4,106.4,1.9,98,3.9,103.6,88459,"889,825",-0.006837299,1.8,8576.98,103.6
2008/11/1,104.6,-1,105.7,▲0.9,105.7,▲0.7,96.1,▲2.0,102.9,83274,"888,562",0.001421398,1.8,8512.27,102.9
2008/12/1,103.4,-1.1,105.2,▲0.4,102.3,▲3.2,98.3,2.3,106.3,94319,"924,351",-0.038717976,1.8,8859.56,106.3
2009/1/1,102.2,-1.1,104.4,▲0.8,101.6,▲0.7,96.8,▲1.5,104.1,109378,"935,049",-0.011441112,2,7994.05,104.1
2009/2/1,102.2,-0.1,102.6,▲1.7,102.6,0.9,97.8,1,101.1,129083,"936,531",-0.001582436,2.1,7568.42,101.1
2009/3/1,101.2,-1,101.3,▲1.2,102.6,▲0.0,95.6,▲2.3,103,133936,"944,658",-0.008603114,2.2,8109.53,103
2009/4/1,99.7,-1.5,101.4,0,99.8,▲2.7,96.8,1.3,103.2,146111,"956,238",-0.012109956,2.7,8828.26,103.2
2009/5/1,97.6,-2.1,99.9,▲1.5,98,▲1.8,93.6,▲3.2,105.1,135616,"949,165",0.007451813,2.7,9522.5,105.1
2009/6/1,98.3,0.6,98.2,▲1.7,99.4,1.4,93.9,0.3,100.3,132382,"936,392",0.013640655,2.5,9958.44,100.3
2009/7/1,99.4,1.2,100.5,2.4,99.7,0.3,97.4,3.8,103.2,124288,"932,096",0.004608967,2.7,10356.83,103.2
2009/8/1,99,-0.4,100.2,▲0.4,98.6,▲1.1,96.9,▲0.5,102.2,128370,"933,355",-0.001348897,2.8,10492.53,102.2
2009/9/1,100,1,104.7,4.5,98.2,▲0.4,98.7,1.8,102.3,119996,"923,942",0.010187869,3,10133.23,102.3
2009/10/1,98.2,-1.8,97.5,▲6.8,98.2,0,98.9,0.3,100.9,127196,"928,609",-0.005025797,3.4,10034.74,100.9
2009/11/1,97.9,-0.3,99.3,1.9,97.5,▲0.7,96.4,▲2.6,102.5,119375,"922,042",0.007122235,3.3,9345.55,102.5
2009/12/1,98.9,1,96.1,▲3.2,100.6,3.2,95.2,▲1.3,101.8,144903,"972,143",-0.051536657,3.1,10546.44,101.8
2010/1/1,100.7,1.8,100.7,4.7,100.5,▲0.1,99.2,4.2,103.3,156860,"980,675",-0.00870013,3,10198.04,103.3
2010/2/1,99.2,-1.4,98.3,▲2.3,99.8,▲0.7,97.2,▲2.0,101.4,148834,"956,928",0.024815869,2.7,10126.03,101.4
2010/3/1,100.2,1,102.3,4,98.8,▲1.0,101,3.9,103.1,151287,"964,571",-0.00792373,2.7,11089.94,103.1
2010/4/1,102.9,2.8,102.6,0.3,104.7,6,99.5,▲1.5,104.4,167404,"983,836",-0.019581516,2.9,11057.4,104.4
2010/5/1,100.1,-2.7,99.2,▲3.3,101.8,▲2.8,98.7,▲0.7,102.7,166680,"984,323",-0.000494756,3.1,9768.7,102.7
